Meme,Data,Mes,Confiança,Coragem,Bondade,Justiça,Humildade,Gratidão,Família
IMG-20200623-WA0030.jpg,2020-06-23,junho,0,0,0,0,0,1,0
IMG-20200623-WA0196.jpg,2020-06-23,junho,1,0,0,0,0,0,0
IMG-20200624-WA0023.jpg,2020-06-24,junho,0,0,0,0,0,0,0
IMG-20200624-WA0030.jpg,2020-06-24,junho,0,0,0,0,0,0,0
IMG-20200625-WA0077.jpg,2020-06-25,junho,0,1,0,0,0,0,0
IMG-20200625-WA0123.jpg,2020-06-25,junho,1,0,0,0,0,0,0
IMG-20200625-WA0125.jpg,2020-06-25,junho,1,0,0,0,0,0,0
IMG-20200626-WA0033.jpg,2020-06-26,junho,1,0,0,0,0,0,0
IMG-20200626-WA0127.jpg,2020-06-26,junho,1,0,0,0,0,0,1
IMG-20200626-WA0150.jpg,2020-06-26,junho,0,0,0,0,0,0,0
IMG-20200626-WA0152.jpg,2020-06-26,junho,0,1,0,0,0,0,0
IMG-20200626-WA0161.jpg,2020-06-26,junho,1,0,0,0,0,0,0
IMG-20200626-WA0170.jpg,2020-06-26,junho,1,0,0,0,0,0,0
IMG-20200627-WA0107.jpg,2020-06-27,junho,0,0,0,0,0,0,0
IMG-20200627-WA0113.jpg,2020-06-27,junho,1,0,0,0,0,0,0
IMG-20200627-WA0151.jpg,2020-06-27,junho,0,0,0,0,0,0,0
IMG-20200630-WA0025.jpg,2020-06-30,junho,0,0,0,0,0,0,0
IMG-20200630-WA0077.jpg,2020-06-30,junho,0,0,1,0,0,0,0
IMG-20200701-WA0111.jpg,2020-07-01,julho,0,0,0,0,0,1,0
IMG-20200701-WA0137.jpg,2020-07-01,julho,1,0,0,0,0,0,0
IMG-20200702-WA0062.jpg,2020-07-02,julho,0,0,0,0,0,1,0
IMG-20200702-WA0082.jpg,2020-07-02,julho,0,0,0,0,0,0,0
IMG-20200703-WA0090.jpg,2020-07-03,julho,0,1,0,0,0,0,0
IMG-20200703-WA0096.jpg,2020-07-03,julho,0,0,0,0,0,0,0
IMG-20200703-WA0246.jpg,2020-07-03,julho,1,1,0,0,0,0,0
IMG-20200703-WA0313.jpg,2020-07-03,julho,1,1,0,0,0,0,0
IMG-20200704-WA0022.jpg,2020-07-04,julho,0,0,0,0,0,0,0
IMG-20200704-WA0048.jpg,2020-07-04,julho,1,0,0,0,0,1,0
IMG-20200705-WA0082.jpg,2020-07-05,julho,1,0,0,0,0,0,1
IMG-20200705-WA0202.jpg,2020-07-05,julho,1,0,0,0,0,1,0
IMG-20200706-WA0040.jpg,2020-07-06,julho,0,1,0,0,0,0,0
IMG-20200706-WA0041.jpg,2020-07-06,julho,1,0,0,0,0,1,0
IMG-20200706-WA0043.jpg,2020-07-06,julho,1,1,0,0,0,0,0
IMG-20200706-WA0085.jpg,2020-07-06,julho,0,1,0,0,0,0,0
IMG-20200707-WA0026.jpg,2020-07-07,julho,1,0,0,0,0,0,0
IMG-20200707-WA0070.jpg,2020-07-07,julho,0,0,0,0,0,0,0
IMG-20200708-WA0020.jpg,2020-07-08,julho,0,0,0,0,0,0,0
IMG-20200709-WA0018.jpg,2020-07-09,julho,1,0,0,0,0,1,0
IMG-20200710-WA0012.jpg,2020-07-10,julho,1,1,0,0,0,0,0
IMG-20200710-WA0013.jpg,2020-07-10,julho,0,0,0,0,0,0,0
IMG-20200710-WA0044.jpg,2020-07-10,julho,1,0,1,0,0,0,1
IMG-20200711-WA0082.jpg,2020-07-11,julho,1,0,0,0,0,0,1
IMG-20200711-WA0085.jpg,2020-07-11,julho,0,0,1,0,0,0,1
IMG-20200711-WA0100.jpg,2020-07-11,julho,0,0,1,0,0,1,0
IMG-20200711-WA0103.jpg,2020-07-11,julho,1,0,0,0,0,0,0
IMG-20200712-WA0042.jpg,2020-07-12,julho,0,1,0,0,0,0,0
IMG-20200712-WA0067.jpg,2020-07-12,julho,0,0,0,0,0,0,0
IMG-20200713-WA0040.jpg,2020-07-13,julho,0,0,0,0,0,0,1
IMG-20200713-WA0043.jpg,2020-07-13,julho,1,0,0,0,0,0,0
IMG-20200715-WA0216.jpg,2020-07-15,julho,0,1,1,0,0,0,0
IMG-20200715-WA0217.jpg,2020-07-15,julho,1,0,0,0,0,0,0
IMG-20200716-WA0023.jpg,2020-07-16,julho,0,0,1,0,0,0,0
IMG-20200717-WA0020.jpg,2020-07-17,julho,1,0,0,0,0,0,0
IMG-20200717-WA0021.jpg,2020-07-17,julho,0,0,0,0,0,1,0
IMG-20200718-WA0018.jpg,2020-07-18,julho,1,0,0,0,0,0,0
IMG-20200719-WA0020.jpg,2020-07-19,julho,1,0,0,0,0,0,0
IMG-20200719-WA0024.jpg,2020-07-19,julho,1,0,0,0,0,0,0
IMG-20200719-WA0044.jpg,2020-07-19,julho,0,0,0,0,0,0,1
